frame,left_elbow_3D,left_elbow_front,left_elbow_side,left_elbow_top,left_hip_3D,left_hip_front,left_hip_side,left_hip_top,left_knee_3D,left_knee_front,left_knee_side,left_knee_top,left_shoulder_3D,left_shoulder_front,left_shoulder_side,left_shoulder_top,right_elbow_3D,right_elbow_front,right_elbow_side,right_elbow_top,right_hip_3D,right_hip_front,right_hip_side,right_hip_top,right_knee_3D,right_knee_front,right_knee_side,right_knee_top,right_shoulder_3D,right_shoulder_front,right_shoulder_side,right_shoulder_top
1,91.85613734011298,96.4664981372455,3.960375262075053,130.7142060692131,157.50207729000059,157.92343371509392,175.23022373186473,21.641954629801173,166.8327004213092,169.92215724863775,171.39734520653377,56.94028508603844,161.2699606724083,161.12314095574638,140.70181289109235,177.8802049620315,99.60225456926347,106.54239575031808,57.23784197639058,120.44048841447814,141.31595045667765,141.7581929892639,173.135942162739,83.47871753905484,168.96796021620145,169.03332794610185,178.85762177620265,174.85588786288753,59.22752944913688,61.63774429745565,42.73507243115685,28.430122961477473
2,93.63888611991948,100.13357960720731,3.856933070595989,128.36107634812967,158.75667513637288,159.1895366768265,175.28389588854208,49.262554936399475,168.83959188968538,173.09610854633385,171.15196031209692,91.64682057159406,162.84142426274772,162.40185342231274,151.93152436050008,178.92291000906567,63.94723650380245,70.78870595607984,18.17815216123162,89.93088137273799,145.07691064599788,145.23846621119748,175.19484034218107,87.73508201766704,171.34402237266832,171.33497349643324,179.0627022076998,178.61723986699218,64.03328346771124,66.97980529658147,31.25119706015662,47.46574668196192
3,92.75486275278396,100.13609897443105,3.188375572964156,125.8625455835612,158.89037446736617,159.31632882783416,175.3238003513162,63.69537392155282,169.0345751325489,173.49693528639432,171.0966617553144,107.26769596051658,163.12922698113368,162.70762037007174,156.62884310372476,177.20035308169156,64.28956892264144,70.49926162040971,13.949848315323603,89.97223873860743,147.00697343472598,147.06455950694894,176.03742379602684,89.36941406669895,172.36178447108765,172.4319689029869,178.32119279143768,179.8653011356797,64.79292144206168,67.78858132042122,27.717202057492145,51.640294393805675
4,92.52512220107903,100.12608812648554,2.718717448838304,125.26341524987764,160.2525318936758,160.7125231125305,175.3103736994156,165.83843716739392,169.58301482831672,174.5523760401084,171.04356870428305,152.45441158712958,163.69243020198778,163.36120546050293,159.85343046900795,176.4609769505252,57.56809070597448,63.02615175553184,9.434080200574765,85.2347363609323,147.74344124235444,147.71116153058176,176.79260923439833,91.60426204313224,172.81662563337318,173.01113565261906,177.70024593292143,178.55575089693835,65.66328579494481,68.63609949108188,24.88149756820691,55.18974872233092
5,91.69726848756882,99.71564136232716,0.7074933548548854,123.77070229453976,160.64542431282172,161.07431471676472,175.48354335902056,166.85474544682728,169.7592644118054,174.96601783243418,171.00395300914488,150.91427536600398,164.13708444829936,164.01362915497558,163.59965448956325,175.13354862833577,50.09229443048856,54.77045382648848,5.13567728252325,79.46880893765328,148.62636918395597,148.52467236113364,177.4609301284701,93.49063290727047,173.5438745214305,173.91302518484676,177.2221010378548,177.36599674821866,66.69652882434087,69.70835487791604,22.435557094653202,59.04042109620809
6,92.62764262895944,100.27444964211824,0.6428332441259395,125.4826892505825,161.21868987570008,161.6241832840849,175.63646780460135,170.14712716801284,170.09781473458034,175.98789190520029,170.87741926703507,145.60634837574958,165.2690362555044,165.40974959408732,167.86648128727438,174.6069955434861,37.72674318304709,41.61267541443354,6.517721430004367,62.39730287404048,148.88071985655628,148.73601114812863,178.15231107799752,95.37283845074425,173.66309515508038,174.01278062723938,177.29506554602054,177.5395273700735,70.11045781601275,73.05453108296707,19.10513201921469,68.06951983176786
7,92.41018743268356,100.56234091601964,1.3362815272324808,124.33572537749163,160.5223617076426,160.88778236442374,175.75233216275095,162.08330305367818,170.49873184382636,178.0773214330174,170.67317728915745,140.65739869803284,165.1683512147126,165.4338110218489,168.67381026829153,174.00635175858966,49.88012115201216,54.07495013571839,7.423394956611555,76.02693414526638,148.8908198202662,148.7577543537327,178.04455219451978,96.75949076043491,173.62447159774726,173.90748071073406,177.49411859748386,177.9850175734869,69.0830332040601,71.92711514663625,20.661886217024897,64.79796877157273
8,92.97060997257775,101.28295733232937,1.7760113689382602,124.78101495015085,160.17041844662546,160.4943541995187,175.9175299116243,155.81070471182102,170.40871031023923,177.7378461532356,170.6539635151119,147.20606791271408,165.1005229575511,165.4698897519634,169.47091266214747,173.62573462365935,57.9832803076583,63.501716536043176,16.459881827902528,77.63940512375792,148.9975769938456,148.870862225792,178.02907042097524,97.68198628475406,173.7416754603245,173.94131667164353,177.82060116578626,178.63886966435865,68.52736442961486,71.26553096616715,20.75780907955191,63.238486191823824
9,92.78527524534805,100.70660311984886,2.8185585019621713,125.40392049127146,161.91470600882778,162.17025211472202,176.41784151227014,166.19340832257075,171.26460359803434,177.5698214150078,171.55575442894013,147.03594978695043,165.2533150125474,166.18932590849573,174.3248279585432,172.4107835308908,42.23696884163922,46.746627412053925,14.09175016642268,59.0074303022607,149.16021142527038,149.00921879159935,178.70703193177215,98.87448481958535,174.00626315030777,174.17784610791313,177.9889362954905,178.8431846277395,71.52951224094382,74.03304754904299,15.344151723054049,72.48111155090965
10,92.81666179374514,100.4325930101338,2.631883213089302,126.10437258668618,161.67452062278062,161.905434966131,176.52889030822323,163.8853099116887,171.3386036683054,177.32061628156308,171.70706489885944,149.80118732072296,165.278260762629,166.2499145518464,175.02532296630554,172.40322446657723,46.60989740168362,51.57906375055657,15.025198079824706,62.946705797079304,149.0320228381061,148.87776079156765,178.8747225424662,98.91374088392065,174.18048012524858,174.34584201945063,178.04836745794194,178.86530891355707,71.42435815872135,73.77052073917096,14.025761870799387,72.5405492179966
11,92.94694671301927,100.52071426781085,3.0646770022294363,126.21539651140928,162.16697568168897,162.38883190868742,176.62772868086006,166.4646281304172,171.3670870113789,176.99074280790427,171.83535240609447,150.80243240657256,165.38802014108416,166.78436659385665,178.13249635299618,171.66321093559014,40.219345710096675,44.56836016679932,13.505916919291678,54.06753216021457,148.98272119598184,148.81779416078504,179.33506638265052,98.68562425928128,174.09019650344962,174.24110044870974,178.09290166444427,178.99242448547488,73.59889998241229,75.84091473078738,10.727918739890985,78.83963083015172
12,94.4557020087372,102.06316144822871,3.1338601178058316,127.58132426833123,161.8733916363603,162.1571558575652,176.27013361578847,169.71726373164543,170.59495685544115,176.90433195555417,171.04460038851533,145.89898638559382,165.85855155276107,167.2536391064349,178.41079198067118,171.88133377892962,37.825481439983385,41.985175830699795,11.910695431054828,52.3360941324558,149.04720660425974,148.884794955021,179.31262839176657,99.84624942939223,174.6792281091254,174.85306532274035,178.11308085642773,178.75888436786363,73.71828801492356,75.9926102889168,10.07054264232812,79.45676186987153
13,94.69283163760467,102.16173150884397,4.116065477035614,128.03946145746514,161.46668960175418,161.90870147144835,175.48279081292043,179.64768476113517,169.04108915538683,176.6177535450457,169.49115244872917,134.58424181854767,166.12962073378586,167.7180740194952,179.67493914913277,171.68736047007178,37.32385413668506,41.66889005733065,13.89207196265991,47.53193846122584,148.96363858835093,148.8090704664203,179.25762757844976,99.57813117222763,175.00635277498588,175.14883291483892,178.31286837403437,178.98297246877772,75.13659459089197,77.46446067796677,8.631245109542672,83.13876258117924
14,100.0092490023029,107.95089937260887,8.367885726074794,131.26639989457223,160.8406599129742,161.89313883083804,173.24636137292595,152.60681141661925,167.1242786451748,177.65410719325595,167.2728155260389,103.55348778538539,167.81111576948408,170.3879712144273,175.7027737715373,171.20391370464165,134.59686458187093,167.1543625966778,135.97451086123237,12.450459612185387,148.96619223221623,148.84694589729398,178.7253747986428,101.5820724285023,174.94426722422975,174.96004818548369,179.05747614092292,179.60464057902976,77.69254429942792,79.60307928823921,13.826402106168315,89.73622249652979
15,104.77802265351418,110.93523277090368,9.222733336543477,138.8881683793465,157.91386192979917,160.382076547895,169.3363756532695,97.94808767530897,162.93348588418888,176.52450352810712,163.23157581248583,46.78197434972245,170.26362143014484,171.4020212383748,178.65890689105353,174.42173489390007,139.0376031913416,172.0742870117666,139.67753720969873,3.2773622640416686,148.45222561000423,148.65190053656931,175.70728192667374,97.83205938092715,174.53611009074027,174.80078218054524,178.27647015295767,175.01898231539982,78.31191410155023,80.39480480307678,17.19821876877492,90.03344555028657
16,111.1559162702796,118.77595073208245,18.884280260847742,140.42970555437103,152.2105365808333,156.0456034801282,165.06059271409234,49.260172395683846,161.12285497194372,178.61191695193503,161.17092922180328,18.972675591172507,164.03319130454634,176.36055665943715,139.9990402844834,163.64398199832817,91.69535788256903,105.58794239728807,47.164792051689254,105.41576029259713,148.89152002228604,149.66037799446215,172.77254069072725,101.86247673814033,174.93835589955094,179.24717670632594,174.06273389490048,170.77905227542553,98.87126460287794,100.03754528899502,23.09437201746761,132.6531588607087
17,109.68810144946018,117.70661454040004,13.969275150502659,138.35380965601473,147.6163045777562,150.58369317431237,165.57023042969297,13.45707980621176,158.25798416841388,169.98940306331994,160.6013771304097,44.3318089182079,165.87024298003212,175.95574194874482,146.94649903267842,165.67500403324976,69.23386398675541,90.31614381839408,51.849357580209634,67.37249643446418,147.78771299750633,149.27786126331753,169.66571327240666,96.36684963178305,170.45876593114411,179.94724576993863,168.74194629321997,162.27956566655243,94.76282014820963,96.1347922333603,18.658791327560035,125.9902307379299
18,107.83498738474746,117.02907000862118,8.433398637200785,134.30484143942272,147.30354726699557,151.34117514475275,163.41837242511284,26.21254541321528,151.93723312182362,162.5308573945708,157.63649054095148,7.109409930813505,170.61469264430477,174.5496917028986,169.17881808684922,171.65422094729635,138.23370058169974,167.76257090104153,139.3760018925875,40.84260437750987,145.08357806257456,148.08432507486364,164.7548012006083,89.63574160465245,168.65026031641358,178.61532990423927,166.69212474725023,159.1238930850579,88.20821859374368,90.74676437410434,8.013544191425959,117.1600418988292
19,109.71607997432046,118.2377383254885,6.199197584050973,136.7890986137984,145.38577537274813,151.47773441865064,159.40615674773855,33.478665446083255,150.14411393709182,164.80243839241,153.98661166156006,4.451693469112065,171.60278854614828,174.20668764533306,173.28737902264933,173.25766611073772,116.23314093226114,173.18671057909904,114.13943564063617,53.759251206963654,141.68453774553277,147.385448474621,157.84227843561266,80.13828447033947,163.70808832172028,178.42520808512205,160.70279587959308,150.72093677724516,87.77911306438466,90.34060893693551,10.16791598767039,115.9673276488614
20,110.44709547627505,119.19487557218542,3.622232745700949,137.29660145603395,143.67847700356387,149.3087680489094,159.50659266666307,26.46306040091801,148.37863454280867,161.70154337221874,153.75997766400104,9.154205875773735,171.83716280747257,173.14517551770217,179.50445675876264,174.72899411468322,56.45627158090462,34.09545993362337,52.60060808450313,51.14190584939902,140.3795848486112,146.306791408063,156.90295393780363,80.69985150403905,162.9587792771918,177.46226941010744,159.78054588691566,150.12669868503897,88.40327539861714,90.8114491314305,19.61088509053977,123.33015303294893
21,111.88327806149346,123.64553725709294,5.323264773847236,134.14038682477502,136.67927919861424,144.50238240827315,153.497937946553,19.855301581206742,144.6297796692455,169.20708788022534,145.87324798804661,49.48698219691731,167.33027107255054,174.1066813088461,160.50065244101134,167.84640266847154,84.27904108133717,99.22110902820337,47.31682953581279,101.72734843040404,138.4272579796486,145.65518488051197,153.50472954047447,79.60915417549964,159.47074556084505,178.06989513853227,155.05004340750315,145.45745051287525,101.61915253142244,104.3963721977432,0.2702867956011912,138.4967593356184
22,109.50685587071396,120.8307843365658,7.714077188085067,133.4602894973616,135.32330525024176,146.45434299599913,148.6922869845172,27.082723381264127,134.61654076256377,154.12793966704146,141.4223776737073,2.489010715273557,163.45770103237925,174.20086886897755,147.9054406998657,163.28156181216832,87.119191773556,101.09276783271591,23.7327272500482,112.32604733087291,131.98175359604605,143.92119232134806,142.85791260552233,67.31952204555216,147.44765503097918,176.40017773027176,140.39735426339024,128.12963420387513,113.44685741773202,116.45583321026581,18.51806132593298,147.16172971901776
23,106.27630373622891,117.44883243247196,9.102122901715997,131.4588230660631,131.75943673055397,145.38222820823097,144.30203942414747,28.40117483483371,130.00910782908593,155.07242606466087,135.36116826548857,1.9984826093829104,163.43941616689835,174.27959806233926,149.57016754398975,163.11522066165816,82.4539648667252,96.10916471062338,16.211282809588305,109.00865545413102,131.35488873008254,145.37716918987553,140.6163620463512,61.74935505208159,144.77498376089613,175.40326258250892,138.38206119611695,121.75572932694595,112.33977890352052,116.09450926237342,19.302281299277425,144.1398449701538
24,104.74444704674417,117.10235936983557,5.6588074955771095,128.2432654557713,127.31359091194453,144.76089062318846,138.32520748933305,29.155801609606236,124.75704160859057,153.40327830272983,129.92943952525377,0.7592582378212139,168.05255887515526,172.54403375173783,170.45140854384113,169.38556757118826,123.23486826225275,165.70209727160903,123.50784488131092,44.44515787643651,126.54141719825809,149.36849723804158,131.94473482693115,41.98888826193751,135.8692625341381,172.93911282765356,131.52373662196018,97.89711113789689,90.10265845404446,94.41352866833827,5.834124246657444,116.19240190533314
25,103.38154496005046,116.88864333740267,5.687440434529943,126.24862425099552,127.15441505939722,143.77063938668175,138.9286283017247,25.3167143079701,124.33984738868708,150.99822124064002,130.56581540695336,0.05978377135778003,167.25550495964885,172.13357799616819,170.57721445606873,168.35626227767608,25.666743468552703,31.807129963003025,5.026386217476212,37.355484423231225,120.65210763898394,148.58980176774588,124.52106395331488,36.50553571256166,126.54685681399921,173.98345356569877,120.79769146872358,88.10183742515382,92.86191234963064,101.21922310177679,5.642006779015254,112.10479574520994
26,98.30196983432798,112.79851280903841,6.35916355151761,120.60836547925079,126.66628304028602,145.20118357535176,137.09529780096048,26.104503482094863,123.11234047290738,151.3649018042297,128.92261757653984,3.6691663233064444,169.2908219089735,171.0919330663615,178.65001277981932,172.0006373127752,19.95895462876266,2.1946442083039526,20.831533892007972,24.635703691006285,119.1753571963518,159.13297899095235,120.65941981995192,21.626918057841284,120.79055122465472,178.50762218255161,117.98640715620895,63.25820338730248,88.11390244005851,91.69326351179204,31.64992223424803,125.94701836792939
27,108.97150004800928,120.93518420368814,4.3409631322611455,132.08925317692214,124.85414560457129,148.1898037034183,132.59099478299893,38.19730879522573,114.95850538615167,151.38316424211428,119.19627562380506,15.492289764639809,170.63021140804395,172.71211304830572,178.3362493606595,172.89241423275158,123.44170058037328,156.55329843481007,126.51730955951732,37.35319799763971,114.48539517543924,151.09008004761364,116.56623083689071,26.78664396498311,117.88519539162074,175.26724452879682,112.67633855687959,75.10915877021459,83.02265410237457,84.34984691537676,31.372701547359206,129.06487062935113
28,112.3630693528828,122.37598033154194,9.378617118972898,137.55075229494588,120.2673748226442,145.2475903628664,128.42771841466103,35.709752051206685,108.14018730685856,149.26994141022158,112.17353894027708,10.047088719957516,170.55947431648292,171.92182972512694,177.33855055052896,173.77696973931012,86.42323642198592,99.73685127801015,33.864503972224675,111.14882115863418,102.82313057594267,131.81476530320646,104.75220139075483,38.44741382819623,110.66848837698322,158.20949122639317,99.6531940317052,86.40678407411542,105.7905129357373,110.18091466221476,3.907332541927194,141.68000765527765
29,108.11162807061082,119.687206944525,7.948532316890369,132.38363080065884,115.4078004452372,143.56435876668573,123.0773146102399,36.140914500154274,101.2246227378094,148.4121933427435,104.63689057267122,8.542362174390526,167.08208784943974,173.86874804411397,160.31219049929786,167.09073488404607,103.85488136057717,118.06320887345024,33.05513201866884,125.75507989602538,99.4758178589367,124.36499618413387,101.02158583596754,42.58384131658707,108.67986691271358,153.09357104127375,93.9960799480601,90.9077457476964,115.55502434558163,118.56587142469614,12.305133143175075,152.76208004761926
30,106.05016237312333,119.36947187912315,7.670878005083215,128.33217358344095,113.3212748736163,145.339399437166,119.5374459761426,40.425116536258976,98.12622891368774,148.82603078724622,100.95870271045568,14.337078860204267,166.16316309470065,175.28309118021684,156.06799825189486,165.4606808739824,108.88152863482735,126.67570843997262,29.555585013697367,125.7364168594422,100.68650852762228,129.57605623850716,102.08015342823265,37.68820944026561,104.17592094326483,154.81410363148905,92.6496160382008,79.14860948891916,122.57100761255874,126.13949542183876,19.401378743689815,154.78935859404496
31,98.57425321223901,115.03849496774923,9.56265858564036,118.24019209374542,111.63283155705314,144.97334676449626,117.60874777600677,41.308556006317254,94.81092103290341,148.47369819064465,97.41005643561581,13.517439298862115,164.26128636512956,174.53767258232656,154.17775647276028,163.4117018966137,110.43259826901983,128.82024225895123,27.74183141619376,126.3369733261145,95.23371883167304,121.26278966802396,95.84464729151048,38.08540135562191,98.98475065220511,145.60014502998126,85.82542021736701,78.00619943868976,123.63016564243335,127.5986440249398,20.641514063312403,154.2267989536815
32,94.06346559860408,114.23352838248795,10.254454156393367,110.7212242407002,108.17573304308264,145.44578063327063,113.17033802793736,43.67503651507177,91.01357334244204,150.36489457817098,92.96654301998562,14.053623599990427,161.84845458512666,174.1874656181464,151.1305926268743,160.66660845132432,109.4245515578649,126.56857110051867,27.445233842370715,126.81479812475384,90.08759281918064,114.94910214207854,90.21133042488461,33.208978408956774,88.812091976516,133.8988523172579,77.64600632326322,64.49850905704085,122.9463571671108,126.70769715004899,18.631558746050523,154.60151509747797
33,85.6803889833665,101.6322906926692,8.479752537361659,106.59789882305736,104.63788213179875,145.3237386187097,108.9643848047729,43.4018930675474,85.10384111830149,149.4015444338516,86.7581387813198,13.268054861690596,160.89748449268734,170.67731601782768,155.13326002475353,160.36922051070346,101.49220590856908,116.23800704436147,11.32784609695,123.52953365798912,80.29698463368574,98.59817825140108,79.03980755389067,29.797819614817612,76.80832415820392,120.84068725863048,60.74713804474598,61.56571257557127,124.09234481710159,128.58269245993287,21.868417404728362,153.20542183499174
34,85.12172948952005,97.87099431220128,7.478324045102595,109.76010180502067,99.68155448202309,145.43484761719048,103.09764339469496,40.39957430119933,77.8791872937596,145.9251209398097,79.35446277067955,14.02157115291845,162.3281237573053,170.03176732047675,158.6825443613601,162.54918043775766,108.2549517199353,120.92051068372187,2.849710471941282,130.100411977949,77.25958367221395,100.17280798613163,77.704228470248,6.469900663302788,60.14552344643244,121.2311335707166,52.17691403286822,37.13111835046603,132.6810062261663,137.60234345409864,27.85434457321599,156.44525088820848
35,76.65310029435052,82.58160338510996,0.37113912085727635,113.30662236697152,90.90377857303427,133.30955606782783,94.98589116233998,31.889228961999592,69.22735532873043,128.30796972452129,71.85946631498867,13.128872618677645,164.34114939843792,168.98700456398691,164.54914112945485,166.14300110880347,113.20516406306372,121.91714881350323,8.66308220113046,138.44209220642534,67.58284712612081,48.936838923775234,67.97709868632123,8.957623445457687,46.67784401142289,63.530646830393685,44.4037872895732,18.765359394186113,137.3255573038173,141.04380139945908,27.261589104596204,161.01456708743098
36,81.30095316772564,84.89039470473914,1.7980677361960047,129.1556850281591,86.66163050889939,124.8712698792933,90.95658012591821,24.447409101551145,64.95522076333961,117.53887664291231,68.23145781724008,10.143114852896938,167.67738375740566,169.8727994943724,171.27260800088158,171.0028819918114,118.7656309226747,123.4527108104087,10.471328787494123,149.33398513087437,65.8172837403824,19.97502933977574,66.05325317379355,18.236867699830906,40.82242333739757,31.773585433678736,40.2060479485996,8.95442216947084,141.84395850933186,144.3830152343665,19.748815001658507,165.38288459909435
37,80.02284539665317,82.28128608598362,2.82925230341715,135.38339157114675,78.25093563421568,101.15613366125258,83.96906459638214,11.99858442807319,59.56090707200696,99.5075409647705,62.39678502170044,6.399599620321041,169.4322302076814,170.46783138645378,175.32572706315995,173.8973872303529,119.73707059344787,125.35685753501139,12.641802174030914,147.18683949963363,60.7966353910129,32.61801778417576,59.22445561531052,33.2367591734941,34.45766605140413,26.232712855985067,33.60286102797531,8.798502259629355,142.64942845681205,145.54185770636875,23.614493645544453,164.66853965585253
38,69.02754828381774,70.10627230611657,0.7318041571502054,129.78649282181868,75.62638358981884,96.13563396414109,81.36491804553712,11.730081021772547,56.182588906208636,92.32163454596868,59.44819419873781,4.623465438281046,166.7480891190649,166.7840662467959,178.00260501269008,176.994298891119,114.73922416597615,119.85528633783655,4.726088761148974,146.00655052237246,56.27991134280226,14.577152839223942,55.547971482981524,28.820637327833207,30.034918315136572,5.188615043550008,30.02269763513404,0.8344968131331825,139.5245537296139,142.12360018703708,15.211790778377143,164.62740702358343
